"","Tree_ID","Species","Plot_id","Old_plot","DBH_1987","X","Y","State","BBD","Year_death","State_1987","State_1996","State_1998","State_1999","State_2000","State_2004","State_2011","State_2018","Ice_storm"
"1",0,"UAM","A17","A1",25,256549.2666,4994156.426,1,NA,1987,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"UAM","A17","A1",25,256551.2996,4994155.495,1,NA,1987,1,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,"TAM","B18","A1",23,256549.4875,4994157.444,0,NA,NA,0,0,0,0,0,0,0,0,4
"4",3,"OVI","B18","A1",20,256554.8907,4994155.818,1,NA,1998,0,0,1,NA,NA,NA,NA,NA,NA
"5",4,"OVI","B18","A1",19,256553.6881,4994158.78,1,NA,2011,0,0,0,0,0,0,1,NA,NA
"6",5,"CCO","B18","A1",20,256555.2388,4994160.968,0,NA,NA,0,0,0,0,0,0,0,0,3
"7",6,"ASA","B18","A1",58,256559.3906,4994160.817,1,NA,1987,1,NA,NA,NA,NA,NA,NA,NA,NA
"8",7,"CCO","A18","A1",17,256563.7826,4994156.062,0,NA,NA,0,0,0,0,0,0,0,0,1
"9",8,"CCO","A18","A1",16.5,256561.5742,4994153.654,0,NA,NA,0,0,0,0,0,0,0,0,3
"10",9,"FGR","A18","A1",40.5,256556.4264,4994147.02,0,1,NA,0,0,0,0,0,0,0,0,3
"11",10,"ASA","A18","A1",52.5,256553.6985,4994148.081,0,NA,NA,0,0,0,0,0,0,0,0,4
"12",11,"ASA","A18","A1",55,256570.846,4994149.279,0,NA,NA,0,0,0,0,0,0,0,0,4
"13",12,"CCO","B18","A1",22,256554.4476,4994153.099,0,NA,NA,0,0,0,0,0,0,0,0,4
"14",13,"ASA","A16","A2",40,256544.2542,4994129.655,1,NA,1987,1,NA,NA,NA,NA,NA,NA,NA,NA
"15",14,"ASA","A17","A2",50.5,256548.4816,4994133.477,1,NA,2018,0,0,0,0,0,0,0,1,3
"16",15,"ASA","A17","A2",27.5,256548.7637,4994137.05,0,NA,NA,0,0,0,0,0,0,0,0,2
"17",16,"ASA","A17","A2",65,256548.0032,4994140.914,1,NA,2018,0,0,0,0,0,0,0,1,3
"18",17,"ASA","A17","A2",34,256552.0724,4994139.702,0,NA,NA,0,0,0,0,0,0,0,0,4
"19",18,"ASA","B17","A2",75,256538.0063,4994139.38,0,NA,NA,0,0,0,0,0,0,0,0,2
"20",19,"ASA","B17","A2",39,256540.3251,4994143.596,1,NA,1996,0,1,NA,NA,NA,NA,NA,NA,NA
"21",20,"OVI","B17","A2",20,256539.7403,4994147.975,0,NA,NA,0,0,0,0,0,0,0,0,2
"22",21,"TAM","B17","A2",31.5,256539.7997,4994150.278,0,NA,NA,0,0,0,0,0,0,0,0,3
"23",22,"ASA","B16","A3",48,256518.7641,4994128.997,0,NA,NA,0,0,0,0,0,0,0,0,3
"24",23,"ASA","B16","A3",66,256520.8024,4994132.541,1,NA,2004,0,0,0,0,0,1,NA,NA,3
"25",24,"ASA","B16","A3",28,256520.2241,4994133.356,0,NA,NA,0,0,0,0,0,0,0,0,1
"26",25,"CCO","B16","A3",53,256519.9942,4994134.136,0,NA,NA,0,0,0,0,0,0,0,0,3
"27",26,"ASA","A16","A3",34,256526.8999,4994126.703,0,NA,NA,0,0,0,0,0,0,0,0,3
"28",27,"ASA","","A3",28.5,256523.0654,4994119.011,1,NA,1996,0,1,NA,NA,NA,NA,NA,NA,NA
"29",28,"ASA","A16","A3",56,256521.9284,4994119.164,1,NA,2018,0,0,0,0,0,0,0,1,2
"30",29,"ASA","A15","A3",63.5,256521.3996,4994120.204,1,NA,1996,0,1,NA,NA,NA,NA,NA,NA,NA
"31",30,"ASA","A15","A4",47,256507.9146,4994103.497,0,NA,NA,0,0,0,0,0,0,0,0,4
"32",31,"FGR","A15","A4",17,256504.0121,4994107.373,0,1,NA,0,0,0,0,0,0,0,0,5
"33",32,"FGR","B15","A4",16.5,256502.2518,4994110.199,0,NA,NA,0,0,0,0,0,0,0,0,1
"34",33,"FGR","B14","A4",39.5,256497.6583,4994112.828,0,NA,NA,0,0,0,0,0,0,0,0,3
"35",34,"TAM","A14","A4",24,256503.8321,4994111.983,1,NA,1996,0,1,NA,NA,NA,NA,NA,NA,NA
"36",35,"FGR","A15","A4",21,256506.4394,4994108.743,0,NA,NA,0,0,0,0,0,0,0,0,5
